Code,Prov,Loc,EC,TA,TW,Q,Elv,SiO2,SiO4,Al,Fe,Ca,Mg,Na,K ,Li,NH3,Cl,SO4,HCO3,H2S,B,Al3+,As3+,NH4+,CO3-,F,Br,NO3,PO42-,H2S,pH
41,NTT,"Flores Timur, NTT",0,54.5,0,0,0,180.04,0,0,0.12,153.6,175.68,1818.2,250,0.39,0,3102.7,530,229.48,0,2.66,0,0,0.56,0,2.5,0,0,0,0,8.6
42,NTT,"Flores Timur, NTT",0,41.2,0,0,0,137.4,0,0,0.17,65.28,57.6,630,62,0.11,0,1012.46,155,164.58,0,1.08,0,0,0.74,0,1.5,0,0,0,0,8.9
43,NTT,"Flores Timur, NTT",0,42.5,0,0,0,144.11,0,0,0.03,192,142.85,1182.41,113.51,0.15,0,2122.88,155,113.5,0,1.37,0,0,0,0,2,0,0,0,0,8.3
44,NTT,"Flores Timur, NTT",0,46.5,0,0,0,173.6,0,0,1.91,249.6,34.56,333,500,0.13,0,444,368,96.2,0,2.63,0,0,3.85,0,2,0,0,0,0,8.4
45,NTT,"Flores Timur, NTT",0,40.6,0,0,0,168.4,0,0,0.02,134.2,86.4,600,75,0.13,0,987.46,388,172.69,0,1.44,0,0,0,0,3,0,0,0,0,8.7
46,NTT,"Flores Timur, NTT",0,33.1,0,0,0,94.77,0,0,0.04,249.6,466.56,10000,500,0.1,0,15382.86,2436.08,118.22,0,2.88,0,0,0,0,5,0,0,0,0,8.3
47,NTT,"Flores Timur, NTT",0,34.9,0,0,0,169.1,0,0,0.05,57.6,28.8,194.92,75,0.12,0,291.1,193,104.31,0,1.44,0,0,1.11,0,1,0,0,0,0,8.3
51,NTT,"Inielka, Flores Tengah",0,34.5,0,0,740,107,0,0,0.96,112,25,27,6.8,21,0,26,442,0,0,354,0,0,0,0,1,0,0,0,0,3.7
52,NTT,"Inielka, Flores Tengah",0,41.8,0,0,750,150,0,0,7.7,148,40,51,15,18,0,131,897,0,0,1257,0,0,0,0,1.5,0,0,0,0,3
53,NTT,"Inielka, Flores Tengah",0,47.3,0,0,718,142,0,0,9.5,167,45,64,28,28,0,339,1737,0,0,2757,0,0,0,0,3.2,0,0,0,0,2.7
54,NTT,"Inielka, Flores Tengah",0,41.4,0,0,400,138,0,0,15.8,106,31,39,14,27,0,90,600,0,0,945,0,0,0,0,1,0,0,0,0,3.2
55,NTT,"Inielka, Flores Tengah",0,44,0,0,325,144,0,0,8,102,32,47,16,36,0,99,597,0,0,1230,0,0,0,0,0.9,0,0,0,0,3.4
56,NTT,"Inielka, Flores Tengah",0,43.5,0,0,350,127,0,0,0,39,17,29,7.6,8.4,0,3,23,237,0,125,0,0,0,0,0,0,0,0,0,7.1
57,NTT,"Inielka, Flores Tengah",0,19.1,0,0,1405,144,0,0,0,98,5.9,13,1.8,48,0,1.6,653,0,0,128,0,0,0,0,0,0,0,0,0,3.9
58,NTT,"Inielka, Flores Tengah",0,22.1,0,0,975,106,0,0,0,29,10,11,3.6,7.9,0,1.4,61,100,0,46,0,0,0,0,0,0,0,0,0,6.6
59,NTT,"Inielka, Flores Tengah",0,32.5,0,0,325,140,0,0,9.5,105,32,43,15,25,0,90,572,0,0,974,0,0,0,0,1.1,0,0,0,0,3.4
60,NTT,"Inielka, Flores Tengah",0,41.5,0,0,320,147,0,0,13.5,104,33,46,16,25,0,91,571,0,0,1116,0,0,0,0,1,0,0,0,0,3.4
61,NTT,"Inielka, Flores Tengah",0,42.5,0,0,280,143,0,0,12.5,102,32,45,15,24,0,90,577,0,0,1123,0,0,0,0,1,0,0,0,0,3.4
62,NTT,"Inielka, Flores Tengah",0,24.7,0,0,275,106,0,0,2.3,54,19,25,8.2,6.7,0,37,222,0,0,423,0,0,0,0,1.5,0,0,0,0,4.5
71,NTT,Mataloko-upper,2500,0,88.3,0,0,0,0,34.7,0,61,28.6,27.1,5.86,0,0,8.21,807,0,0,0,0,0,4.36,0,0.43,0,0,0,0.02,2.45
72,NTT,Mataloko-upper,873,0,87.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.1
73,NTT,Mataloko-lower-1,490,0,92,0,0,0,0,0,0,17.7,8.7,17.1,5.1,0.03,0,3.7,135,0,0,0,0,0,2.1,0,0.07,0,0.42,0,0,3.74
74,NTT,Mataloko-lower-2,1550,0,94.6,0,0,0,0,0,0,107,32.1,43.7,3.1,0,0,2.6,741,0,0,0,0,0,8.72,0,0.29,0,0.15,0,0,3
75,NTT,Mataloko-lower-2,1190,0,84.9,0,0,0,0,1.99,0,29.3,17,18.3,8.61,0,0,4.31,303,0,0,0,0,0,1.04,0,0.16,0,0.17,0,1.45,2.76
76,NTT,Nage-1,53000,0,79.4,0.166666667,0,0,0,24.7,0,78.6,30.2,14,36.6,0.3,0,472,759,0,0,0,0,0,2.39,0,4.81,1.43,0.12,0,1.55,2.09
77,NTT,Nage-1,4740,0,80,0.166666667,0,0,0,0,0,74.1,29.1,139,35,0.29,0,443,761,0,0,0,0,0,0,0,4.78,1.35,0.03,0,0,2
78,NTT,Nage-2,48000,0,73.2,0.166666667,0,0,0,22.5,0,72.4,27.9,137,35,0.29,0,400,757,0,0,0,0,0,2.98,0,3.77,1.26,0.11,0,1.25,2.16
79,NTT,Nage-2,4240,0,73.4,0.166666667,0,0,0,0,0,70.4,27.5,131,33,0.27,0,387,720,0,0,0,0,0,0,0,3.97,1.21,0.07,0,0,2
710,NTT,Nage-3,47000,0,72,0.166666667,0,0,0,25.5,0,71,27.3,125,31.8,0.26,0,387,731,0,0,0,0,0,2.73,0,4,1.18,0.11,0,2,2.17
711,NTT,Keli Tiworiwu-1,1480,0,52.8,0.015,0,0,0,2.67,0,136,50.4,74,30.5,0.02,0,53.3,637,0,0,0,0,0,0.41,0,0.71,0.13,0.12,0,19,3.59
712,NTT,Keli Tiworiwu-2,2100,0,72.1,0.015,0,0,0,0.36,0,221,78.5,128,67.7,0,0,115,1070,43.8,0,0,0,0,0.25,0,1.01,0.28,0.11,0,28.5,5.97
713,NTT,Bobo (Wai Putih),1700,0,21,0,0,0,0,0,0,80.3,30.4,28.9,4.2,0,0,3.3,695,0,0,0,0,0,0,0,1.15,0,0.67,0,,2.73
714,NTT,Bobo (Wae Putih),1420,0,21.6,0,0,0,0,0,0,51.5,19.7,21.5,4.42,0,0,4.95,512,0,0,0,0,0,0.39,0,0.47,0,0,0,11.5,2.73
715,NTT,Woko Bobo-1,0,0,0,0,0,0,0,0,0,0,0,0,21.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
716,NTT,Woko-Bobo-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
717,NTT,Bena (Wae Pana),1540,0,36.2,0,0,0,0,0,0,107,65.8,66.9,8.08,0.02,0,43.7,574,154,0,0,0,0,0.18,0,0,0.1,3.93,0,0,6.49
718,NTT,Soka (Wae Pana),850,0,45.7,0.06,0,0,0,0,0,0,0,0,0,0,0,10,407,11,0,0,0,0,0,0,0.92,0,0,0,4.7,5.35
719,NTT,Mengeruda,1740,0,41.1,0,0,0,0,0,0,100,32.9,50.6,16.5,0.03,0,104,678,0,0,0,0,0,0,0,0.46,0,0.02,0,0,2.97
720,NTT,Mengeruda,1780,0,41.6,0.4,0,0,0,0,0,103,34.2,52.8,16.7,0,0,108,711,0,0,0,0,0,0.21,0,0.42,0.13,0.1,0,0,2.89
721,NTT,Mengeruda,1695,0,40.9,0.4,0,0,0,0,0,93.2,31.3,47.9,15.6,0,0,98.6,647,0,0,0,0,0,0,0,0.42,0.13,0.02,0,0,2.8
722,NTT,Wae Bana,1790,0,37.2,0.083333333,0,0,0,0,0,106,33.6,43.7,15,0,0,96.4,679,0,0,0,0,0,0.23,0,0.54,0.16,0.04,0,0,2.85
723,NTT,Piga,1820,0,39.1,0,0,0,0,0,0,103,32.5,41.7,14.6,0,0,96.5,678,0,0,0,0,0,0,0,0.55,0.11,0.03,0,0,2.6
724,NTT,Gou (Wae Mega),1100,0,35.2,0,0,0,0,0,0,118,25.7,30.4,6.93,0,0,30.5,550,0,0,0,0,0,0.19,0,0.65,0.05,0.04,0,6.1,3.59
725,NTT,Gou (Wae Bana Watuhwuti),2900,0,40.5,0,0,0,0,0,0,139,38.5,48.7,13.2,0,0,135,985,0,0,0,0,0,0.42,0,3.97,0.21,0.05,0,12.4,2.47
